"Nickname", "Full form"
"Emelin","Emily"
"Emeline","Emily"
"Arlina","Erline"
"Essie","Esther"
"Hester","Esther"
"Hesther","Esther"
"Ester","Esther"
"Estra","Esther"
"Estrella","Esther"
"Hesta","Esther"
"Hetty","Esther"
"Trella","Esther"
"Eugenie","Eugenia"
"Eulalie","Eulalia"
"Euphemie","Euphemia"
"Effie","Euphemia"
"Phemie","Euphemia"
"Eva","Eve"
"Eveleen","Evelina"
"Eveline","Evelina"
"Evelyn","Evelina"
"Lena","Evelina"
"Lina","Evelina"
"Fayette","Faith"
"Fay","Faith"
"Fae","Faith"
"Faye","Faith"
"Faustine","Faustina"
"Fausta","Faustina"
"Flo","Florence"
"Flossie","Florence"
"Florencia","Florence"
"Flornce","Florence"
"Fan","Frances"
"Fannie","Frances"
"Fanny","Frances"
"Fran","Frances"
"Frannie","Frances"
"Florencia","Frances"
"Flornce","Frances"
"Francesca","Frances"
"Francisca","Frances"
"Francoise","Frances"
"Fanchon","Frances"
"Fania","Frances"
"Fanya","Frances"
"Freda","Frederica"
"Freida","Frederica"
"Frida","Frederica"
"Frieda","Frederica"
"Frederica","Frederick"
"Frederika","Frederick"
"Freda","Frederick"
"Frida","Frederick"
"Georgia","George"
"Georgiana","George"
"Georgette","George"
"Gertie","Gertrude"
"Gerty","Gertrude"
"Trudie","Gertrude"
"Trudy","Gertrude"
"Gertraud","Gertrude"
"Gertrud","Gertrude"
"Gertha","Gertrude"
"Trude","Gertrude"
"Truda","Gertrude"
"Gracia","Grace"
"Gracie","Grace"
"Grayce","Grace"
"Grazia","Grace"
"Gwen","Gwendolen"
"Gwenn","Gwendolen"
"Gwendolin","Gwendolen"
"Gwendolyn","Gwendolen"
"Hattie","Harriet"
"Hatty","Harriet"
"Haeriett","Harriet"
"Harriette","Harriet"
"Harriot","Harriet"
"Enrica","Harriet"
"Etta","Harriet"
"Ettie","Harriet"
"Hallie","Harriet"
"Hally","Harriet"
"Henrietta","Harriet"
"Henrika","Harriet"
"Elena","Helen"
"Nelly","Helen"
"Nelle","Helen"
"Nellie","Helen"
"Nell","Helen"
"Helena","Helen"
"Helene","Helen"
"Aileen","Helen"
"Elaine","Helen"
"Eleanor","Helen"
"Eleanora","Helen"
"Eleonora","Helen"
"Eleonore","Helen"
"Ellen","Helen"
"Eileen","Helen"
"Nora","Helen"
"Nelina","Helen"
"Leona","Helen"
"Leonore","Helen"
"Leonora","Helen"
"Lenora","Helen"
"Lenore","Helen"
"Lenor","Helen"
"Lena","Helen"
"Lina","Helen"
"Hilaire","Hilary"
"Hilario","Hilary"
"Hilarius","Hilary"
"Ilario","Hilary"
"Nora","Honoria"
"Norah","Honoria"
"Nordine","Honoria"
"Norina","Honoria"
"Huette","Hugh"
"Hugette","Hugh"
"Huguette","Hugh"
"Inga","Ingrid"
"Erma","Irma"
"Bell","Isabel"
"Belle","Isabel"
"Ysabel","Isabel"
"Bella","Isabel"
"Isabelle","Isabel"
"Isobel","Isabel"
"Isobell","Isabel"
"Isobelle","Isabel"
"Isabella","Isabel"
"Jackie","Jacqueline"
"Jacquelyn","Jacqueline"
"Jacqueline","Jacqueline"
"Giovanna","Jane"
"Janet","Jane"
"Janette","Jane"
"Jean","Jane"
"Jeanette","Jane"
"Jeanie","Jane"
"Jeanne","Jane"
"Jeannette","Jane"
"Jennie","Jane"
"Jenny","Jane"
"Johanna","Jane"
"Juanita","Jane"
"Janie","Jane"
"Jannie","Jane"
"Jayne","Jane"
"Janne","Jane"
"Janella","Jane"
"Janice","Jane"
"Zanetta","Jane"
"Jess","Jessica"
"Jessie","Jessica"
"Jessy","Jessica"
"Giuseppina","Josephine"
"Jo","Josephine"
"Josie","Josephine"
"Josepha","Josephine"
"Fifi","Josephine"
"Fifine","Josephine"
"Jossie","Josephine"
"Pepita","Josephine"
"Pheny","Josephine"
"Judy","Judith"
"Juditha","Judith"
"Juliet","Julia"
"Julie","Julia"
"Jill","Julia"
"Juliana","Julia"
"Juliane","Julia"
"Caterine","Katherine"
"Catharina","Katherine"
"Catharine","Katherine"
"Catherine","Katherine"
"Cathie","Katherine"
"Cathrine","Katherine"
"Cathryn","Katherine"
"Cathy","Katherine"
"Kate","Katherine"
"Kathie","Katherine"
"Kathy","Katherine"
"Katie","Katherine"
"Katy","Katherine"
"Kay","Katherine"
"Kit","Katherine"
"Kitty","Katherine"
"Katharine","Katherine"
"Kathrine","Katherine"
"Kathryn","Katherine"
"Kathryne","Katherine"
"Katrina","Katherine"
"Katrine","Katherine"
"Cassie","Katherine"
"Cataline","Katherine"
"Cathaleen","Katherine"
"Catie","Katherine"
"Kara","Katherine"
"Karen","Katherine"
"Karena","Katherine"
"Karin","Katherine"
"Kasia","Katherine"
"Kassia","Katherine"
"Kathleen","Katherine"
"Trina","Katherine"
"Trino","Katherine"
"Lora","Laura"
"Laurie","Laura"
"Laurella","Laura"
"Laurice","Laura"
"Laurel","Laura"
"Laurette","Laura"
"Laurinda","Laura"
"Laurena","Laura"
"Lorelle","Laura"
"Lorena","Laura"
"Loretta","Laura"
"Lorinda","Laura"
"Loris","Laura"
"Lorita","Laura"
"Lorna","Laura"
"Lorella","Laura"
"Lorilla","Laura"
"Lea","Leah"
"Leonia","Leona"
"Lettie","Letitia"
"Letty","Letitia"
"Leta","Letitia"
"Lety","Letitia"
"Lil","Lillian"
"Lili","Lillian"
"Lillie","Lillian"
"Lilly","Lillian"
"Lily","Lillian"
"Lilian","Lillian"
"Lala","Lillian"
"Lela","Lillian"
"Lelah","Lillian"
"Leilia","Lillian"
"Lylyan","Lillian"
"Lou","Louise"
"Luisa","Louise"
"Lois","Louise"
"Louisa","Louise"
"Eloise","Louise"
"Heloise","Louise"
"Lewise","Louise"
"Lisette","Louise"
"Loisette","Louise"
"Ludovika","Louise"
"Luiza","Louise"
"Lula","Louise"
"Lulita","Louise"
"Lulu","Louise"
"Lucrece","Lucretia"
"Lucille","Lucy"
"Lucia","Lucy"
"Lucie","Lucy"
"Luciana","Lucy"
"Louella","Luela"
"Lin","Lynn"
"Linn","Lynn"
"Mable","Mabel"
"Also","Mabel"
"Magdalen","Madeline"
"Magdalene","Madeline"
"Madalona","Madeline"
"Madalyn","Madeline"
"Madelaine","Madeline"
"Madelene","Madeline"
"Madelon","Madeline"
"Madleine","Madeline"
"Madoline","Madeline"
"Madolyn","Madeline"
"Madel","Madeline"
"Magdala","Madeline"
"Marlena","Madeline"
"Maud","Madeline"
"Maude","Madeline"
"Maun","Madeline"
"Maidel","Madeline"
"Marcella","Marcellina"
"Marcello","Marcellina"
"Marcelline","Marcellina"
"Madge","Margaret"
"Maggie","Margaret"
"Marge","Margaret"
"Margie","Margaret"
"Margy","Margaret"
"Peg","Margaret"
"Peggie","Margaret"
"Peggy","Margaret"
"Margareta","Margaret"
"Margarete","Margaret"
"Margarette","Margaret"
"Margarida","Margaret"
"Margarita","Margaret"
"Margery","Margaret"
"Margret","Margaret"
"Margrette","Margaret"
"Marguerite","Margaret"
"Marjorie","Margaret"
"Marjory","Margaret"
"Greta","Margaret"
"Gretchen","Margaret"
"Mag","Margaret"
"Maisie","Margaret"
"Margalo","Margaret"
"Martherita","Margaret"
"Margo","Margaret"
"Margolo","Margaret"
"Margot","Margaret"
"Marjie","Margaret"
"Meg","Margaret"
"Meta","Margaret"
"Mig","Margaret"
"Migsy","Margaret"
"Rita","Margaret"
"Gretchel","Margaret"
"Gredel","Margaret"
"Daisy","Margaret"
"Daisie","Margaret"
"Midge","Margaret"
"Marta","Martha"
"Martella","Martha"
"Mattie","Martha"
"Matty","Martha"
"Patty","Martha"
"Mame","Mary"
"Mamie","Mary"
"Mayme","Mary"
"Mollie","Mary"
"Molly","Mary"
"Maire","Mary"
"Mara","Mary"
"Marea","Mary"
"Maria","Mary"
"Marie","Mary"
"Marye","Mary"
"Marry","Mary"
"Marya","Mary"
"Mae","Mary"
"Mahon","Mary"
"Manette","Mary"
"Maraline","Mary"
"Marella","Mary"
"Maretta","Mary"
"Marette","Mary"
"Mariam","Mary"
"Marian","Mary"
"Marianna","Mary"
"Marianne","Mary"
"Marice","Mary"
"Marieann","Mary"
"Mariel","Mary"
"Marietta","Mary"
"Mariette","Mary"
"Marilla","Mary"
"Marille","Mary"
"Marilyn","Mary"
"Marion","Mary"
"Marla","Mary"
"Maryanne","Mary"
"May","Mary"
"Minnie","Mary"
"Moira","Mary"
"Polly","Mary"
"Moya","Mary"
"Tilda","Matilda"
"Tillie","Matilda"
"Tilly","Matilda"
"Mathilda","Matilda"
"Mathilde","Matilda"
"Matilde","Matilda"
"Mattie","Matilda"
"Matty","Matilda"
"Maud","Matilda"
"Maude","Matilda"
"Mil","Mildred"
"Millie","Mildred"
"Milly","Mildred"
"Meriel","Muriel"
"Meryl","Muriel"
"Mur","Muriel"
"Mira","Myra"
"Mirilla","Myra"
"Myrilla","Myra"
"Mertle","Myrtle"
"Myrt","Myrtle"
"Meta","Myrtle"
"Myrta","Myrtle"
"Murtie","Myrtle"
"Noelle","Noel"
"Noella","Noel"
"Natal","Noel"
"Natale","Noel"
"Natalia","Noel"
"Natalie","Noel"
"Nathalie","Noel"
"Natasha","Noel"
"Natascha","Noel"
"Natica","Noel"
"Nettie","Noel"
"Netty","Noel"
"Pat","Patricia"
"Patsy","Patricia"
"Pattie","Patricia"
"Patty","Patricia"
"Pollie","Paula"
"Polly","Paula"
"Paola","Paula"
"Paulette","Paula"
"Paulina","Paula"
"Pauline","Paula"
"Paulita","Paula"
"Pablita","Paula"
"Pola","Paula"
"Pearle","Peral"
"Perl","Peral"
"Perle","Peral"
"Rae","Rachel"
"Ray","Rachel"
"Rachael","Rachel"
"Rachele","Rachel"
"Raquel","Rachel"
"Becky","Rebecca"
"Rebbekah","Rebecca"
"Reba","Rebecca"
"Rosalie","Rose"
"Rosalind","Rose"
"Rosamond","Rose"
"Rosa","Rose"
"Rosie","Rose"
"Rosaleen","Rose"
"Rosalia","Rose"
"Rosaline","Rose"
"Rosalyn","Rose"
"Roselie","Rose"
"Roselle","Rose"
"Rosetta","Rose"
"Rosina","Rose"
"Rozelia","Rose"
"Rozetta","Rose"
"Rubetta","Ruby"
"Sabina","Sabine"
"Sadie","Sarah"
"Sallie","Sarah"
"Sally","Sarah"
"Serafino","Sarah"
"Sara","Sarah"
"Sarie","Sarah"
"Sarita","Sarah"
"Zara","Sarah"
"Zarah","Sarah"
"Sybil","Sibyl"
"Sybilla","Sibyl"
"Sibylla","Sibyl"
"Sibley","Sibyl"
"Sophie","Sophia"
"Sophy","Sophia"
"Sofia","Sophia"
"Estella","Stella"
"Estelle","Stella"
"Stanislava","Stella"
"Stephania","Stephana"
"Stefania","Stephana"
"Stephanie","Stephana"
"Susie","Susannah"
"Susy","Susannah"
"Sue","Susannah"
"Susan","Susannah"
"Susanna","Susannah"
"Susanne","Susannah"
"Silva","Sylvia"
"Fedora","Theodora"
"Teresa","Theresa"
"Terese","Theresa"
"Terry","Theresa"
"Tess","Theresa"
"Tessie","Theresa"
"Therese","Theresa"
"Terza","Theresa"
"Tessa","Theresa"
"Ursel","Ursa"
"Ursula","Ursa"
"Victorine","Victoria"
"Vida","Vita"
"Vivien","Vivian"
"Mina","Wilhelmina"
"Mini","Wilhelmina"
"Minna","Wilhelmina"
"Wileon","Wilhelmina"
"Willa","Wilhelmina"
"Wilmet","Wilhelmina"
"Billie","Wilhelmina"
"Yolande","Yolanda"
"Yolanthe","Yolanda"
"Yvette","Yvonne"
"Zorah","Zora"
"Zoranna","Zora"
"Aron","Aaron"
"Abe","Abraham"
"Abie","Abraham"
"Abe","Abram"
"Al","Albert"
"Bert","Albert"
"Bertie","Albert"
"Aleck","Alexander"
"Alex","Alexander"
"Alick","Alexander"
"Al","Alfred"
"Alf","Alfred"
"Andy","Andrew"
"Toney","Anthony"
"Tony","Anthony"
"Arch","Archibald"
"Archie","Archibald"
"Archy","Archibald"
"Arnie","Arnold"
"Art","Arthur"
"Artie","Arthur"
"Arty","Arthur"
"Agostino","Augustus"
"Agustus","Augustus"
"Gus","Augustus"
"Guss","Augustus"
"Gust","Augustus"
"Gustaf","Augustus"
"Gustave","Augustus"
"Gustus","Augustus"
"Batisto","Baptist"
"Battista","Baptist"
"Bautista","Baptist"
"Bart","Bartholomew"
"Benedetto","Benedict"
"Benito","Benedict"
"Ben","Benjamin"
"Benj","Benjamin"
"Bennie","Benjamin"
"Benny","Benjamin"
"Barnard","Bernard"
"Barney","Bernard"
"Bernie","Bernard"
"Bert","Bertram"
"Bertie","Bertram"
"Cesar","Caesar"
"Cesare","Caesar"
"Carl","Carlton"
"Carl","Charles"
"Carlo","Charles"
"Carlos","Charles"
"Charley","Charles"
"Charlie","Charles"
"Charly","Charles"
"Chas.","Charles"
"Chuck","Charles"
"Karl","Charles"
"Ches.","Chester"
"Chet","Chester"
"Chris","Christopher"
"Kit","Christopher"
"Clem","Clement"
"Con","Conrad"
"Konrad","Conrad"
"Ciril","Cyril"
"Cy","Cyril"
"Si","Cyril"
"Sy","Cyril"
"Dan","Daniel"
"Dannie","Daniel"
"Danny","Daniel"
"Dave","David"
"Davy","David"
"Dom","Dominick"
"Nick","Dominick"
"Don","Donald"
"Donal","Donald"
"Donnie","Donald"
"Doug","Douglas"
"Erle","Earl"
"Erroll","Earl"
"Ed","Edmund"
"Ed","Edward"
"Eddie","Edward"
"Eddy","Edward"
"Edw.","Edward"
"Ned","Edward"
"Neddy","Edward"
"Ed","Edwin"
"Eddy","Edwin"
"Mannie","Emanuel"
"Manny","Emanuel"
"Manuel","Emanuel"
"Earnest","Ernest"
"Ernie","Ernest"
"Erny","Ernest"
"Gene","Eugene"
"Zeke","Ezekiel"
"Ferd","Ferdinand"
"Ferdie","Ferdinand"
"Ferdy","Ferdinand"
"Fernando","Ferdinand"
"Franco","Francis"
"Frank","Francis"
"Frankie","Francis"
"Franko","Francis"
"Franz","Francis"
"Frank","Franklin"
"Federico","Frederick"
"Federigo","Frederick"
"Fred","Frederick"
"Freddie","Frederick"
"Freddy","Frederick"
"Geo.","George"
"Giorgio","George"
"Georges","George"
"Jeorge","George"
"Jorge","George"
"Gerry","Gerald"
"Giraldo","Gerald"
"Jerald","Gerald"
"Jerry","Gerald"
"Gil","Gilbert"
"Guilbert","Gilbert"
"Hal","Harold"
"Harry","Harold"
"Herald","Harold"
"Herold","Harold"
"Enrico","Henry"
"Enrique","Henry"
"Hal","Henry"
"Hank","Henry"
"Harry","Henry"
"Heinrich","Henry"
"Hen","Henry"
"Hendrik","Henry"
"Bert","Herbert"
"Herb","Herbert"
"Herbie","Herbert"
"Herby","Herbert"
"Horace","Horatio"
"Horacio","Horatio"
"Ignace","Ignatius"
"Ignasio","Ignatius"
"Ignazio","Ignatius"
"Ervin","Irving"
"Erving","Irving"
"Irv","Irving"
"Irvin","Irving"
"Erwin","Irwin"
"Ik","Isacc"
"Ike","Isacc"
"Izaak","Isacc"
"Giacobbe","Jacob"
"Jack","Jacob"
"Jacobus","Jacob"
"Jake","Jacob"
"Diego","James"
"Giacomo","James"
"Jamie","James"
"Jas.","James"
"Jemmy","James"
"Jim","James"
"Jimmie","James"
"Jimmy","James"
"Vincenzo","James"
"Jerry","Jeremiah"
"Giovanni","John"
"Hans","John"
"Ian","John"
"Ivan","John"
"Jack","John"
"Jackie","John"
"Jan","John"
"Jean","John"
"Jhon","John"
"Jno.","John"
"Joao","John"
"Juan","John"
"Giuseppe","Joseph"
"Guseppe","Joseph"
"Joe","Joseph"
"Joie","Joseph"
"Jos.","Joseph"
"Jose","Joseph"
"Jule","Julian"
"Jules","Julian"
"Julie","Julian"
"Julius","Julian"
"Ken","Kenneth"
"Kenny","Kenneth"
"Kienneth","Kenneth"
"Larry","Lawrence"
"Laurie","Lawrence"
"Lorenz","Lawrence"
"Lorenzo","Lawrence"
"Leigh","Lee"
"Lem","Lemuel"
"Lee","Leonard"
"Leo","Leonard"
"Leon","Leonard"
"Lew","Lewis"
"Lou","Lewis"
"Louie","Lewis"
"Louis","Lewis"
"Ludvig","Lewis"
"Ludwig","Lewis"
"Luigi","Lewis"
"Luis","Lewis"
"Lucas","Luke"
"Lukas","Luke"
"Lothar","Luther"
"Lothario","Luther"
"Lisle","Lyle"
"Lysle","Lyle"
"Marc","Marcus"
"Marco","Marcus"
"Mark","Marcus"
"Marcus","Mark"
"Markus","Mark"
"Max","Maxwell"
"Myer","Meyer"
"Myre","Meyer"
"Mike","Michael"
"Maurice","Morris"
"Maury","Morris"
"Moritz","Morris"
"Morrie","Morris"
"Moe","Moses"
"Moise","Moses"
"Mose","Moses"
"Monroe","Munro"
"Nat","Nathaniel"
"Nate","Nathaniel"
"Nath.","Nathaniel"
"Nick","Nicholas"
"Nik","Nicholas"
"Noll","Oliver"
"Ollie","Oliver"
"Paddy","Patrick"
"Pat","Patrick"
"Pablo","Paul"
"Pete","Peter"
"Petie","Peter"
"Pierre","Peter"
"Pietro","Peter"
"Felipe","Philip"
"Felippe","Philip"
"Filipo","Philip"
"Filippo","Philip"
"Phil","Philip"
"Rafe","Raffaele"
"Ralph","Raffaele"
"Rae","Raymond"
"Ray","Raymond"
"Ramond","Raymond"
"Raymon","Raymond"
"Reggie","Reginald"
"Rube","Reuben"
"Ruben","Reuben"
"Rubin","Reuben"
"Rueben","Reuben"
"Dick","Richard"
"Dickey","Richard"
"Dickie","Richard"
"Dicky","Richard"
"Rich","Richard"
"Richie","Richard"
"Rickie","Richard"
"Ritchard","Richard"
"Bob","Robert"
"Bobbie","Robert"
"Bobby","Robert"
"Rob","Robert"
"Robbie","Robert"
"Robie","Robert"
"Rob't","Robert"
"Roby","Robert"
"Roddy","Roderic"
"Rudolf","Rodolph"
"Rudolfe","Rodolph"
"Rudolph","Rodolph"
"Rudolphus","Rodolph"
"Rudy","Rodolph"
"Ronnie","Ronald"
"Ronny","Ronald"
"Salvatore","Samuel"
"Sam","Samuel"
"Sammie","Samuel"
"Sammy","Samuel"
"Sid","Sidney"
"Sydney","Sidney"
"Sol","Solomon"
"Solly","Solomon"
"Esteban","Stephen"
"Estevan","Stephen"
"Etienne","Stephen"
"Steve","Stephen"
"Stevie","Stephen"
"Terry","Terrence"
"Tad","Thaddeus"
"Thad","Thaddeus"
"Ted","Theodore"
"Teddie","Theodore"
"Teddy","Theodore"
"Theo","Theodore"
"Thos.","Thomas"
"Tom","Thomas"
"Tomas","Thomas"
"Tomaso","Thomas"
"Tommey","Thomas"
"Tommie","Thomas"
"Tommy","Thomas"
"Tomy","Thomas"
"Tim","Timothy"
"Timmy","Timothy"
"Wallie","Wallace"
"Wally","Wallace"
"Waly","Wallace"
"Gaultier","Walter"
"Wallie","Walter"
"Wally","Walter"
"Walt","Walter"
"Wladislaw","Walter"
"Wash","Washington"
"Bill","William"
"Billie","William"
"Billy","William"
"Gulielmo","William"
"Guillaume","William"
"Guillermo","William"
"Wilhilm","William"
"Will","William"
"Willie","William"
"Willy","William"
"Wm.","William"
"Willey","William"
"Winnie","William"
"Winnie","Winfred"
"Zach","Zachariah"
"Zack","Zachariah"
"Zechariah","Zachariah"
"Nabby","Abigail"
"Adeline","Adaline"
"Ada","Adaline"
"Addy","Adaline"
"Dell","Adaline"
"Delia","Adaline"
"Lena","Adaline"
"Dell","Adelaide"
"Della","Adelaide"
"Heidi","Adelaide"
"Adele","Adelphia"
"Addy","Adelphia"
"Dell","Adelphia"
"Delphia","Adelphia"
"Philly","Adelphia"
"Aggy","Agatha"
"Aggy","Agnes"
"Nessa","Agnes"
"Allie","Aileen"
"Lena","Aileen"
"Allie","Alberta"
"Bert","Alberta"
"Bertie","Alberta"
"Alex","Alexandra"
"Alla","Alexandra"
"Sandy","Alexandra"
"Alfy","Alfreda"
"Freda","Alfreda"
"Freddy","Alfreda"
"Frieda","Alfreda"
"Elsie","Alice"
"Lisa","Alice"
"Allie","Almena"
"Mena","Almena"
"Emily","Amelia"
"Mel","Amelia"
"Millie","Amelia"
"Amy","Amelia"
"Antonia","Antoinette"
"Ann","Antoinette"
"Tony","Antoinette"
"Netta","Antoinette"
"Arabelle","Arabella"
"Ara","Arabella"
"Arry","Arabella"
"Belle","Arabella"
"Bella","Arabella"
"Arly","Arlene"
"Lena","Arlene"
"Arry","Armena"
"Mena","Armena"
"Assene","Asenath"
"Natty","Asenath"
"Sene","Asenath"
"Aggy","Augusta"
"Gatsy","Augusta"
"Tina","Augusta"
"Barby","Barbara"
"Bobbie","Barbara"
"Trisha","Beatrice"
"Trixie","Beatrice"
"Belle","Belinda"
"Linda","Belinda"
"Birdie","Bertha"
"Bert","Bertha"
"Bertie","Bertha"
"Beverley","Beverly"
"Bev","Beverly"
"Biddie","Bridget"
"Biddy","Bridget"
"Bridgie","Bridget"
"Bridie","Bridget"
"Britt","Brittany"
"Cammie","Camille"
"Millie","Camille"
"Cornie","Cornelia"
"Nelia","Cornelia"
"Caroline","Carol"
"Carolyn","Carol"
"Carrie","Carol"
"Cassie","Carol"
"Lynn","Carol"
"Cassie","Cassandra"
"Sandra","Cassandra"
"Sandy","Cassandra"
"Cathleen","Catherine"
"Katherine","Catherine"
"Kathleen","Catherine"
"Cathy","Catherine"
"Kathy","Catherine"
"Katy","Catherine"
"Cassie","Catherine"
"Kay","Catherine"
"Kit","Catherine"
